Ref,Val,Package,PosX,PosY,Rot,Side
"C401","10nF/6V3","C_0201_0603Metric",148.005800,-170.586400,0.000000,bottom
"C402","10uF/16V","C_0603_1608Metric",144.018000,-167.462200,90.000000,bottom
"C701","10uF/16V","C_0603_1608Metric",135.178800,-167.462200,90.000000,bottom
"C702","10uF/16V","C_0603_1608Metric",138.658600,-167.462200,90.000000,bottom
"C704","10uF/16V","C_0603_1608Metric",142.138400,-167.462200,90.000000,bottom
"C1102","1nF/450V","C_0805_2012Metric",147.320000,-133.045200,180.000000,bottom
"D401","SMF3.3","D_SOD-123F",156.591000,-167.817800,180.000000,bottom
"D402","SMF3.3","D_SOD-123F",156.616400,-170.180000,180.000000,bottom
"D501","S1J_600V_1A","D_SMA",125.018800,-148.234400,0.000000,bottom
"D801","BAT60JFILM","D_SOD-323",161.925000,-155.143200,180.000000,bottom
"L1101","50475C","IND_50XXXC_MUR",136.855200,-135.661400,0.000000,bottom
"Q501","T2050H-6G-TR","TO-263-2",153.750800,-140.284200,0.000000,bottom
"Q801","AS3400","SOT-23-3",156.794200,-153.314400,0.000000,bottom
"Q901","AS3400","SOT-23-3",156.794200,-164.160200,0.000000,bottom
"Q902","AS3400","SOT-23-3",156.794200,-160.553400,0.000000,bottom
"Q903","AS3400","SOT-23-3",156.794200,-156.921200,0.000000,bottom
"R402","1R_1/2W","R_0805_2012Metric",152.450800,-167.792400,180.000000,bottom
"R403","1R_1/2W","R_0805_2012Metric",152.425400,-170.180000,180.000000,bottom
"R502","100KR_1W","R_MELF_MMB-0207",125.018800,-141.757400,180.000000,bottom
"R503","3KR_2W","R_2512_6332Metric",133.959600,-143.687800,0.000000,bottom
"R504","330R_1/10W","R_0402_1005Metric",142.519400,-158.320200,90.000000,bottom
"R1101","15R_2W","RES_SMF2_TYCO_TYC",124.942600,-132.207000,90.000000,bottom
"RT801","100mA_15V","Fuse_0603_1608Metric",162.483800,-151.333200,0.000000,bottom
"U401","MAX31855JASA+T","SOIC-8_3.9x4.9mm_P1.27mm",147.853400,-165.836600,90.000000,bottom
"U501","140817143400","SMDIP-4_W7.62mm",131.724400,-151.231600,-90.000000,bottom
"U502","MOC3022S","SMDIP-6_W7.62mm",139.979400,-151.257000,90.000000,bottom
"U701","SN74LVC1G17DBVR","SOT-23-5",134.213600,-171.272200,90.000000,bottom
"U702","SN74LVC1G17DBVR","SOT-23-5",137.693400,-171.272200,90.000000,bottom
"U703","DLPT05A-7","SOT-23",144.856200,-171.678600,0.000000,bottom
